Date : 2026-06-15 13:52:14
Directory : /home/morit/Studium/Master/Forschungsprojekt/nextpnr
Total : 1369 files,  325095 codes, 67140 comments, 57768 blanks, all 450003 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/cast.h                                                         | C++                         |      1,442 |        191 |        205 |      1,838 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/chrono.h                                                       | C++                         |        162 |         31 |         33 |        226 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/common.h                                                       | C++                         |          2 |          0 |          1 |          3 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/complex.h                                                      | C++                         |         51 |          9 |         15 |         75 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/detail/class.h                                                 | C++                         |        517 |        122 |        110 |        749 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/detail/common.h                                                | C++                         |        837 |        295 |        136 |      1,268 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/detail/cpp_conduit.h                                           | C++                         |         63 |          2 |         13 |         78 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/detail/descr.h                                                 | C++                         |        129 |         17 |         26 |        172 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/detail/init.h                                                  | C++                         |        320 |         70 |         45 |        435 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/detail/internals.h                                             | C++                         |        480 |        130 |         60 |        670 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/detail/type_caster_base.h                                      | C++                         |        876 |        249 |        134 |      1,259 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/detail/typeid.h                                                | C++                         |         44 |         10 |         12 |         66 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/eigen.h                                                        | C++                         |          2 |          8 |          3 |         13 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/eigen/common.h                                                 | C++                         |          4 |          3 |          3 |         10 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/eigen/matrix.h                                                 | C++                         |        511 |        119 |         85 |        715 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/eigen/tensor.h                                                 | C++                         |        396 |         22 |        100 |        518 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/embed.h                                                        | C++                         |        176 |        108 |         33 |        317 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/eval.h                                                         | C++                         |        111 |         20 |         26 |        157 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/functional.h                                                   | C++                         |         95 |         25 |         19 |        139 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/gil.h                                                          | C++                         |        151 |         58 |         39 |        248 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/gil_safe_call_once.h                                           | C++                         |         38 |         44 |         10 |         92 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/iostream.h                                                     | C++                         |        138 |         97 |         31 |        266 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/numpy.h                                                        | C++                         |      1,618 |        235 |        281 |      2,134 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/operators.h                                                    | C++                         |        167 |         18 |         18 |        203 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/options.h                                                      | C++                         |         54 |         16 |         23 |         93 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/pybind11.h                                                     | C++                         |      2,203 |        444 |        320 |      2,967 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/pytypes.h                                                      | C++                         |      1,867 |        417 |        291 |      2,575 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/stl.h                                                          | C++                         |        358 |         27 |         64 |        449 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/stl/filesystem.h                                               | C++                         |         91 |         10 |         16 |        117 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/stl_bind.h                                                     | C++                         |        637 |         68 |        119 |        824 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/type_caster_pyobject_ptr.h                                     | C++                         |         48 |          2 |         12 |         62 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/include/pybind11/typing.h                                                       | C++                         |         83 |         18 |         25 |        126 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/noxfile.py                                                                      | Python                      |         67 |         18 |         23 |        108 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/pybind11/__init__.py                                                            | Python                      |         13 |          0 |          5 |         18 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/pybind11/__main__.py                                                            | Python                      |         50 |          2 |         11 |         63 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/pybind11/_version.py                                                            | Python                      |          8 |          0 |          5 |         13 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/pybind11/commands.py                                                            | Python                      |         18 |         10 |         10 |         38 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/pybind11/setup_helpers.py                                                       | Python                      |        249 |        170 |         82 |        501 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/setup.cfg                                                                       | Properties                  |         39 |          0 |          5 |         44 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/setup.py                                                                        | Python                      |        110 |         12 |         29 |        151 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/CMakeLists.txt                                                            | CMake                       |        524 |          0 |         69 |        593 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/conftest.py                                                               | Python                      |        140 |         26 |         57 |        223 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/constructor_stats.h                                                       | C++                         |        223 |         80 |         20 |        323 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/cross_module_gil_utils.cpp                                                | C++                         |         74 |         15 |         20 |        109 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/cross_module_interleaved_error_already_set.cpp                            | C++                         |         30 |         12 |         10 |         52 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/eigen_tensor_avoid_stl_array.cpp                                          | C++                         |          5 |          6 |          4 |         15 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/env.py                                                                    | Python                      |         14 |          8 |          6 |         28 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/exo_planet_c_api.cpp                                                      | C++                         |         82 |          8 |         14 |        104 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/exo_planet_pybind11.cpp                                                   | C++                         |         13 |          1 |          6 |         20 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/extra_python_package/pytest.ini                                           | Ini                         |          0 |          0 |          1 |          1 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/extra_python_package/test_files.py                                        | Python                      |        237 |          2 |         56 |        295 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/extra_setuptools/pytest.ini                                               | Ini                         |          0 |          0 |          1 |          1 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/extra_setuptools/test_setuphelper.py                                      | Python                      |         50 |         89 |         13 |        152 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/home_planet_very_lonely_traveler.cpp                                      | C++                         |          8 |          1 |          5 |         14 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/local_bindings.h                                                          | C++                         |         66 |         13 |         14 |         93 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/object.h                                                                  | C++                         |        119 |         47 |         40 |        206 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/pybind11_cross_module_tests.cpp                                           | C++                         |         82 |         44 |         24 |        150 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/pybind11_tests.cpp                                                        | C++                         |         88 |         25 |         17 |        130 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/pybind11_tests.h                                                          | C++                         |         65 |          6 |         15 |         86 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/pytest.ini                                                                | Ini                         |         22 |          0 |          1 |         23 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/requirements.txt                                                          | pip requirements            |         15 |          0 |          1 |         16 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_async.cpp                                                            | C++                         |         15 |          8 |          3 |         26 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_async.py                                                             | Python                      |         15 |          0 |         10 |         25 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_buffers.cpp                                                          | C++                         |        206 |         21 |         33 |        260 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_buffers.py                                                           | Python                      |        179 |          8 |         42 |        229 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_builtin_casters.cpp                                                  | C++                         |        301 |         49 |         43 |        393 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_builtin_casters.py                                                   | Python                      |        390 |         35 |        104 |        529 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_call_policies.cpp                                                    | C++                         |         83 |         15 |         18 |        116 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_call_policies.py                                                     | Python                      |        217 |          2 |         29 |        248 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_callbacks.cpp                                                        | C++                         |        212 |         37 |         32 |        281 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_callbacks.py                                                         | Python                      |        163 |         11 |         52 |        226 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_chrono.cpp                                                           | C++                         |         41 |         25 |         16 |         82 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_chrono.py                                                            | Python                      |        124 |         23 |         59 |        206 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_class.cpp                                                            | C++                         |        499 |         70 |         89 |        658 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_class.py                                                             | Python                      |        358 |         31 |        111 |        500 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cmake_build/CMakeLists.txt                                           | CMake                       |         67 |          0 |         14 |         81 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cmake_build/embed.cpp                                                | C++                         |         18 |          0 |          6 |         24 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cmake_build/installed_embed/CMakeLists.txt                           | CMake                       |         22 |          0 |          7 |         29 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cmake_build/installed_function/CMakeLists.txt                        | CMake                       |         33 |          0 |          7 |         40 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cmake_build/installed_target/CMakeLists.txt                          | CMake                       |         37 |          0 |         10 |         47 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cmake_build/main.cpp                                                 | C++                         |          5 |          0 |          2 |          7 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cmake_build/subdirectory_embed/CMakeLists.txt                        | CMake                       |         38 |          0 |         10 |         48 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cmake_build/subdirectory_function/CMakeLists.txt                     | CMake                       |         35 |          0 |          7 |         42 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cmake_build/subdirectory_target/CMakeLists.txt                       | CMake                       |         38 |          0 |         10 |         48 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cmake_build/test.py                                                  | Python                      |          5 |          0 |          4 |          9 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_const_name.cpp                                                       | C++                         |         45 |          4 |          7 |         56 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_const_name.py                                                        | Python                      |         26 |          0 |          4 |         30 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_constants_and_functions.cpp                                          | C++                         |        113 |         26 |         20 |        159 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_constants_and_functions.py                                           | Python                      |         40 |          0 |         17 |         57 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_copy_move.cpp                                                        | C++                         |        423 |         73 |         38 |        534 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_copy_move.py                                                         | Python                      |         86 |         17 |         30 |        133 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cpp_conduit.cpp                                                      | C++                         |         15 |          1 |          7 |         23 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cpp_conduit.py                                                       | Python                      |        103 |         19 |         39 |        161 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cpp_conduit_traveler_bindings.h                                      | C++                         |         31 |          3 |         14 |         48 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_cpp_conduit_traveler_types.h                                         | C++                         |         17 |          1 |          8 |         26 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_custom_type_casters.cpp                                              | C++                         |        169 |         29 |         24 |        222 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_custom_type_casters.py                                               | Python                      |        101 |          7 |         15 |        123 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_custom_type_setup.cpp                                                | C++                         |         27 |          8 |          7 |         42 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_custom_type_setup.py                                                 | Python                      |         27 |          9 |         13 |         49 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_docstring_options.cpp                                                | C++                         |        102 |          9 |         31 |        142 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_docstring_options.py                                                 | Python                      |         28 |         18 |         19 |         65 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_eigen_matrix.cpp                                                     | C++                         |        323 |         81 |         42 |        446 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_eigen_matrix.py                                                      | Python                      |        630 |         55 |        130 |        815 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_eigen_tensor.cpp                                                     | C++                         |          7 |          6 |          6 |         19 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_eigen_tensor.inl                                                     | C++                         |        265 |          7 |         62 |        334 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_eigen_tensor.py                                                      | Python                      |        228 |          3 |         58 |        289 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_embed/CMakeLists.txt                                                 | CMake                       |         37 |          0 |         11 |         48 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_embed/catch.cpp                                                      | C++                         |         28 |          6 |         10 |         44 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_embed/external_module.cpp                                            | C++                         |         12 |          3 |          6 |         21 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_embed/test_interpreter.cpp                                           | C++                         |        371 |         36 |         82 |        489 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_embed/test_interpreter.py                                            | Python                      |          9 |          0 |          6 |         15 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_embed/test_trampoline.py                                             | Python                      |         10 |          0 |          7 |         17 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_enum.cpp                                                             | C++                         |         94 |         22 |         18 |        134 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_enum.py                                                              | Python                      |        196 |         26 |         48 |        270 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_eval.cpp                                                             | C++                         |         84 |         13 |         22 |        119 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_eval.py                                                              | Python                      |         32 |          0 |         19 |         51 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_eval_call.py                                                         | Python                      |          2 |          1 |          2 |          5 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/pybind11/tests/test_exceptions.cpp                                                       | C++                         |        300 |         45 |         44 |        389 |
